video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QXbcjF12dE0&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@FoxNews,Fox News,US armored vehicle shipment arrives in Israel,78K,3 months,FOX News' Jonathan Hunt provides details on the delivery of heavy equipment as the Biden administration mulls sending an ...,2024-01-30 08:54:49.133760
/watch?v=Kng5ggLay28&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@guardiannews,Guardian News,Israel launches military response as war with Hamas escalates,2.3M,3 months,"The Israeli military said: 'The IDF will defend Israeli civilians, and the Hamas terrorist organisation will pay a heavy price for its ...",2024-01-30 08:54:49.136205
/watch?v=InQW5cy2Ky4&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@msnbc,MSNBC,U.S. officials worried attacks on Israel can escalate beyond a regional conflict,213K,3 months,U.S. officials are worried the attacks on Israel by Hamas could escalate into a regional war. NBC News' Richard Engel reports on ...,2024-01-30 08:54:49.137933
/watch?v=qnGZ4h3x1jk&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@12newsnow,12NewsNow,The US will send a carrier strike group to the Eastern Mediterranean in support of Israel,2.1K,3 months,"The large deployment, which also includes a host of ships and warplanes, underscores the concern the U.S. has in trying to deter ...",2024-01-30 08:54:49.139558
/watch?v=tkgLng-d53k&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@WION,WION,"Israel-Palestine war: UK to deploy aircraft, royal navy ships to Eastern Mediterranean | WION",62K,3 months,The UK government has given the green light to send two Royal Navy ships and surveillance aircraft to the Eastern Mediterranean ...,2024-01-30 08:54:49.144122
/watch?v=BFkDnDbLRCY&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@Foxla,FOX 11 Los Angeles,US sends military advisors to Israel,1K,3 months,"The Pentagon has sent military advisers, including a Marine Corps general versed in urban warfare, to Israel to aid in its war ...",2024-01-30 08:54:49.145664
/watch?v=pQYQyHbpzlM&pp=ygUWVVMgc2VuZHMgYWlkIHRvIElzcmFlbA%3D%3D,/@ABC7Chicago,ABC 7 Chicago,Israeli military’s Iron Dome intercepts rockets from Gaza,1.7M,3 months,Video captured the Israeli military's Iron Dome defense system intercepting Gaza rockets.,2024-01-30 08:54:49.147080
/watch?v=yOlPBD00-LM&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@ABCNews,ABC News,US boosts aid to Israel | WNN,15K,3 months,"The first plane carrying American ammunition has arrived in Israel. Meanwhile, the U.S. military is considering sending a second ...",2024-01-30 08:55:03.605376
/watch?v=58Vuq0qnUCQ&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@MiddleEastEye,Middle East Eye,Columbia Professor: The US is ‘isolated globally for supporting Israel’,80K,4 weeks,"In a podcast streamed on Youtube with Judging Freedom, Columbia University Professor Jefferey Sachs spoke and criticised ...",2024-01-30 08:55:03.608950
/watch?v=cHgKHOlg-gk&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@CBCTheNational,CBC News: The National,U.S. sends aid to Israel as world leaders try to de-escalate war with Hamas,32K,3 months,The U.S. was quick to send military aid to Israel after a Hamas attack as international outrage and calls for calm poured in. #news ...,2024-01-30 08:55:03.611916
/watch?v=NLcWaty9osg&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@ajplus,AJ+,US Aid To Israel - The Real Deal,219K,9 years,"The special relationship between Israel and the United States goes deep...real deep. It's based on security, conflict and most of all ...",2024-01-30 08:55:03.614718
/watch?v=pRc2IQl1-Dk&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@TODAY,TODAY,"White House sends aid to Israel, moves US warships closer to area",93K,3 months,The United States is sending warships and fighter jets to the region near Israel as a show of support after the deadly attack by ...,2024-01-30 08:55:03.618454
/watch?v=ep_-eJPfrl4&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@CBSNews,CBS News,First U.S. weapons shipment arrives in Israel,403K,3 months,"President Biden reiterated U.S. support of Israel on Tuesday, vowing to continue sending military assistance. The president and ...",2024-01-30 08:55:03.621338
/watch?v=klXaDgmM8Fs&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@ajplus,AJ+,Why Israel Matters to Americans,762K,1 year,There's undoubtedly a very special relationship between Israel and the United States. Since the establishment of the State of ...,2024-01-30 08:55:03.624459
/watch?v=KuS-7sJL_kI&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@InsiderNews,Insider News,A Breakdown Of Military Aid US Is Sending To Israel | Insider News,36K,3 months,"President Joe Biden asked Congress for $14.3 billion to aid Israel with fighter jets, interceptors and missile defense systems.",2024-01-30 08:55:03.627238
/watch?v=tH-RszNoRJA&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@UNPACKED,Unpacked,U.S. Foreign Aid to Israel Explained | Unpacked,29K,2 years,Americans tend to overestimate how much the U.S. gives to other countries in foreign aid. Many assume that the U.S. gives 25% of ...,2024-01-30 08:55:03.631169
/watch?v=BPpgVrUEktI&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@NBCNews,NBC News,Mounting questions about future U.S. aid for Israel as fighting rages,37K,3 months,"As fighting rages and Congress is unable to act without a House speaker, there are mounting questions about future United States ...",2024-01-30 08:55:03.633904
/watch?v=-nLZRmKXmmc&pp=ygUYVW5pdGVkIFN0YXRlcyBhaWQgSXNyYWVs,/@ajplus,AJ+,What Your Taxes Pay For in Israel,154K,2 years,"Israeli airstrikes killed over 200 people and destroyed more than 2800 homes. Despite this, the Biden administration approved a ...",2024-01-30 08:55:03.636799
